[2025-10-02 23:28:44] Tecla: t | Evento: down
[2025-10-02 23:28:44] Tecla: e | Evento: down
[2025-10-02 23:28:44] Tecla: t | Evento: up
[2025-10-02 23:28:44] Tecla: e | Evento: up
[2025-10-02 23:28:46] Tecla: enter | Evento: down
[2025-10-02 23:28:46] Tecla: enter | Evento: up
[2025-10-02 23:28:50] Tecla: h | Evento: down
[2025-10-02 23:28:50] Tecla: h | Evento: up
[2025-10-02 23:28:50] Tecla: o | Evento: down
[2025-10-02 23:28:50] Tecla: o | Evento: up
[2025-10-02 23:28:50] Tecla: l | Evento: down
[2025-10-02 23:28:50] Tecla: l | Evento: up
[2025-10-02 23:28:50] Tecla: a | Evento: down
[2025-10-02 23:28:50] Tecla: a | Evento: up
[2025-10-02 23:28:51] Tecla: space | Evento: down
[2025-10-02 23:28:51] Tecla: q | Evento: down
[2025-10-02 23:28:51] Tecla: space | Evento: up
[2025-10-02 23:28:51] Tecla: q | Evento: up
[2025-10-02 23:28:52] Tecla: u | Evento: down
[2025-10-02 23:28:52] Tecla: u | Evento: up
[2025-10-02 23:28:52] Tecla: e | Evento: down
[2025-10-02 23:28:52] Tecla: space | Evento: down
[2025-10-02 23:28:52] Tecla: e | Evento: up
[2025-10-02 23:28:52] Tecla: space | Evento: up
[2025-10-02 23:28:52] Tecla: t | Evento: down
[2025-10-02 23:28:52] Tecla: a | Evento: down
[2025-10-02 23:28:52] Tecla: t | Evento: up
[2025-10-02 23:28:52] Tecla: a | Evento: up
[2025-10-02 23:28:52] Tecla: l | Evento: down
[2025-10-02 23:28:53] Tecla: l | Evento: up
[2025-10-02 23:28:53] Tecla: space | Evento: down
[2025-10-02 23:28:53] Tecla: space | Evento: up
[2025-10-02 23:28:53] Tecla: c | Evento: down
[2025-10-02 23:28:53] Tecla: c | Evento: up
[2025-10-02 23:28:53] Tecla: o | Evento: down
[2025-10-02 23:28:53] Tecla: o | Evento: up
[2025-10-02 23:28:53] Tecla: m | Evento: down
[2025-10-02 23:28:53] Tecla: m | Evento: up
[2025-10-02 23:28:53] Tecla: o | Evento: down
[2025-10-02 23:28:53] Tecla: o | Evento: up
[2025-10-02 23:28:53] Tecla: space | Evento: down
[2025-10-02 23:28:54] Tecla: space | Evento: up
[2025-10-02 23:28:54] Tecla: e | Evento: down
[2025-10-02 23:28:54] Tecla: e | Evento: up
[2025-10-02 23:28:54] Tecla: s | Evento: down
[2025-10-02 23:28:54] Tecla: s | Evento: up
[2025-10-02 23:28:54] Tecla: t | Evento: down
[2025-10-02 23:28:54] Tecla: a | Evento: down
[2025-10-02 23:28:54] Tecla: t | Evento: up
[2025-10-02 23:28:54] Tecla: s | Evento: down
[2025-10-02 23:28:54] Tecla: a | Evento: up
[2025-10-02 23:28:54] Tecla: s | Evento: up
[2025-10-02 23:28:55] Tecla: . | Evento: down
[2025-10-02 23:28:55] Tecla: . | Evento: up
[2025-10-02 23:28:55] Tecla: . | Evento: down
[2025-10-02 23:28:55] Tecla: . | Evento: up
[2025-10-02 23:28:55] Tecla: . | Evento: down
[2025-10-02 23:28:55] Tecla: . | Evento: up
[2025-10-02 23:28:55] Tecla: . | Evento: down
[2025-10-02 23:28:56] Tecla: . | Evento: up
[2025-10-02 23:28:56] Tecla: space | Evento: down
[2025-10-02 23:28:56] Tecla: space | Evento: up
[2025-10-02 23:28:57] Tecla: p | Evento: down
[2025-10-02 23:28:57] Tecla: p | Evento: up
[2025-10-02 23:28:57] Tecla: a | Evento: down
[2025-10-02 23:28:57] Tecla: a | Evento: up
[2025-10-02 23:28:57] Tecla: p | Evento: down
[2025-10-02 23:28:57] Tecla: p | Evento: up
[2025-10-02 23:28:57] Tecla: a | Evento: down
[2025-10-02 23:28:57] Tecla: a | Evento: up
[2025-10-02 23:28:57] Tecla: p | Evento: down
[2025-10-02 23:28:57] Tecla: p | Evento: up
[2025-10-02 23:28:57] Tecla: a | Evento: down
[2025-10-02 23:28:57] Tecla: a | Evento: up
[2025-10-02 23:28:57] Tecla: p | Evento: down
[2025-10-02 23:28:57] Tecla: p | Evento: up
[2025-10-02 23:28:57] Tecla: a | Evento: down
[2025-10-02 23:28:58] Tecla: a | Evento: up
[2025-10-02 23:28:59] Tecla: enter | Evento: down
[2025-10-02 23:28:59] Tecla: enter | Evento: up
[2025-10-02 23:29:03] Tecla: backspace | Evento: down
[2025-10-02 23:29:04] Tecla: backspace | Evento: up
[2025-10-02 23:29:10] Tecla: ctrl | Evento: down
[2025-10-02 23:29:11] Tecla: c | Evento: down
